id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,coordinate_type
723642134466860477,480575437,Lak Si,13.88601,100.58755,Private room,926,3,1,2022-10-18,0.42,1,365,individual
723643486299270149,40262107,Ratchathewi,13.752,100.53125,Private room,1521,1,4,2022-12-04,1.4,39,350,individual
723667138476801350,134974883,Bang Phlat,13.7859572,100.4977561,Entire home/apt,650,15,1,2022-10-31,0.51,8,305,individual
723709582308758644,39788305,Din Daeng,13.78231,100.57397,Private room,729,1,15,2022-12-27,5.06,2,354,individual
723723551594094834,23503077,Huai Khwang,13.75137,100.59054,Entire home/apt,759,4,3,2022-12-11,1.45,12,174,individual
723773471027017948,402093105,Khlong Toei,13.72209,100.5747,Entire home/apt,1581,7,4,2022-12-09,1.35,45,241,individual
723784554839401037,402093105,Khlong Toei,13.7237,100.57488,Entire home/apt,1581,7,20,2022-12-13,7.06,45,241,individual
723798178043182930,185602387,Ratchathewi,13.753996053266922,100.56407164782284,Private room,3957,3,4,2022-11-04,1.46,16,345,individual
723799330407965986,402093105,Vadhana,13.74059,100.58233,Entire home/apt,1524,4,2,2022-09-29,0.65,45,230,individual
723807971135024287,402093105,Vadhana,13.73931,100.58284,Entire home/apt,1524,4,2,2022-09-30,0.65,45,230,individual
723811256442237021,50861914,Vadhana,13.7387455396311,100.56106841321407,Private room,2000,3,1,2022-11-02,0.53,2,329,individual
724187836628482498,461455435,Phra Khanong,13.70148,100.60447,Entire home/apt,1490,3,3,2022-10-30,1.07,3,158,individual
724191320295359786,227784412,Bang Rak,13.72433,100.52092,Entire home/apt,739,1,2,2022-12-01,0.85,19,176,individual
724202123688855915,465472724,Phra Nakhon,13.76196,100.50248,Private room,971,1,7,2022-11-12,2.41,9,177,individual
724205130881557961,465472724,Phra Nakhon,13.75965,100.50221,Private room,650,1,8,2022-12-24,2.7,9,354,individual
724240768642948718,434168399,Yan na wa,13.71037,100.54215,Entire home/apt,10143,1,1,2022-10-08,0.37,44,357,individual
724327597234154700,26620868,Sathon,13.72121,100.53879,Entire home/apt,2856,2,2,2022-11-30,0.91,34,359,individual
724338243663061878,201677068,Sathon,13.710604321725077,100.52021297354128,Entire home/apt,1244,1,4,2022-12-12,2.07,228,353,individual
733268789522765009,482765032,Vadhana,13.742711718650291,100.56234143372956,Private room,1457,1,2,2022-11-08,0.88,2,359,individual
724347122971833993,314945555,Sathon,13.710729399140956,100.52021297354128,Entire home/apt,1144,1,3,2022-12-25,1.61,49,358,individual
733278769058616266,482765032,Vadhana,13.742722140344188,100.56231461163942,Shared room,500,1,1,2022-12-09,1.0,2,365,individual
724373156544281883,26620868,Sathon,13.72216,100.53919,Entire home/apt,4624,2,1,2022-11-18,0.73,34,349,individual
724465553861950582,480379507,Bang Sue,13.846454428580245,100.54170303046703,Entire home/apt,475,7,1,2022-11-20,0.77,1,330,individual
733331562783837765,22200127,Vadhana,13.7287426,100.5919806,Private room,1800,7,2,2022-12-17,1.03,1,356,individual
733520517776908012,126414281,Bangkok Noi,13.74515,100.46874,Private room,519,2,2,2022-11-22,0.8,3,90,individual
733618153642759525,436414788,Ratchathewi,13.75041,100.53759,Private room,1514,1,0,,0.0,3,76,individual
733680303686470544,8613539,Wang Thong Lang,13.790445235304263,100.59501059353352,Private room,914,4,3,2022-12-09,1.38,10,148,individual
733799645495052263,482847652,Bangkok Yai,13.73257,100.46633,Entire home/apt,1200,1,1,2022-11-28,1.0,1,334,individual
733826064723816750,166559468,Khlong Toei,13.70592,100.59957,Entire home/apt,1497,30,0,,0.0,13,181,individual
733849075672166547,9867720,Khlong Toei,13.72954,100.57055,Entire home/apt,5108,5,1,2022-11-27,0.94,8,360,individual
733941042257050473,16552933,Phra Nakhon,13.7557929,100.4986667,Private room,5175,1,0,,0.0,6,305,multi_listing_same_host
733949237251262741,16552933,Phra Nakhon,13.7557929,100.4986667,Private room,4485,1,1,2022-11-05,0.56,6,297,multi_listing_same_host
733956521218914630,16552933,Phra Nakhon,13.7557929,100.4986667,Private room,5175,1,0,,0.0,6,305,multi_listing_same_host
733960249143118759,16552933,Phra Nakhon,13.7557929,100.4986667,Private room,4485,1,0,,0.0,6,303,multi_listing_same_host
728598923674059525,481865680,Huai Khwang,13.7787487,100.5824801,Entire home/apt,5200,1,9,2022-12-20,4.82,1,82,individual
728741646918472189,26620868,Vadhana,13.72419,100.58688,Entire home/apt,1190,2,1,2022-10-24,0.45,34,0,individual
728762611707915609,26620868,Vadhana,13.72389,100.58551,Entire home/apt,1190,2,0,,0.0,34,0,individual
728804497217034337,478532202,Phra Nakhon,13.754,100.50142,Shared room,4143,1,0,,0.0,1,362,individual
728882022376251581,461327529,Vadhana,13.713103634440143,100.60001324862242,Entire home/apt,1000,15,0,,0.0,1,313,individual
728920477911354951,35068115,Lat Krabang,13.72044380459621,100.73362612257657,Entire home/apt,1090,1,16,2022-12-20,5.85,2,159,individual
728935284058755192,149112551,Khlong San,13.72114,100.50953,Entire home/apt,1814,28,1,2022-12-01,1.0,8,149,individual
729183877884730770,465472724,Phra Nakhon,13.76191,100.50143,Private room,1029,1,6,2022-12-25,2.2,9,354,individual
729211587643636769,31015834,Phra Nakhon,13.75804,100.49624,Private room,1104,1,8,2022-12-27,3.48,18,352,individual
729222786126269864,373243295,Vadhana,13.71441,100.60568,Private room,1800,7,1,2022-12-01,1.0,1,334,individual
729290337273289029,235135484,Sathon,13.7087,100.51981,Entire home/apt,2000,1,7,2022-12-07,2.53,21,27,individual
729350292936734214,482009789,Phasi Charoen,13.717631770226983,100.45380681041787,Private room,450,365,0,,0.0,1,365,individual
729361706449701482,139189243,Sathon,13.71215,100.52184,Private room,1029,1,10,2022-12-24,4.41,29,317,individual
729364919131924336,482011973,Bang Sue,13.82427,100.51808,Private room,1000,1,1,2022-12-21,1.0,1,365,individual
724477672884522870,122363222,Khlong Toei,13.72197,100.57771,Entire home/apt,1704,2,9,2022-12-14,3.07,19,308,individual
724491972681660067,152018136,Khlong Toei,13.72251884352209,100.57695870674588,Entire home/apt,1594,2,6,2022-12-16,2.65,12,142,individual
724497274654954181,481104923,Bang Na,13.65995865967465,100.61122270522486,Entire home/apt,550,30,0,,0.0,1,318,individual
724524588076423133,47601115,Khlong Toei,13.715897,100.5748618,Private room,1300,1,5,2022-12-03,2.11,2,311,individual
729368995903862687,240335152,Bang Phlat,13.771,100.48776,Private room,1300,1,0,,0.0,1,365,individual
729480915578948410,112617579,Chatu Chak,13.8298468,100.5680508,Entire home/apt,2000,6,0,,0.0,1,365,individual
729497516438921248,77645593,Chatu Chak,13.80717,100.57114,Entire home/apt,1455,1,11,2022-12-11,4.46,2,305,individual
729620963383470904,473454250,Huai Khwang,13.75584,100.56746,Entire home/apt,4893,35,1,2022-12-12,1.0,9,359,individual
729621122214763566,47112197,Vadhana,13.730991450349531,100.58892249209596,Entire home/apt,4810,1,12,2022-12-12,4.29,1,345,individual
729626149936269321,26620868,Khlong Toei,13.73673,100.55583,Entire home/apt,1190,2,1,2022-11-14,0.67,34,0,individual
729643810975792207,152018136,Din Daeng,13.757861169530026,100.55284469452054,Entire home/apt,800,1,0,,0.0,12,124,individual
729855268139318674,31015834,Phra Khanong,13.70512,100.608,Private room,1190,1,0,,0.0,18,302,individual
729919189669201903,37451680,Suanluang,13.74224,100.60227,Entire home/apt,1000,2,2,2022-12-12,2.0,1,228,individual
730022796255531944,482151772,Bangkok Noi,13.75976,100.46763,Private room,850,1,0,,0.0,1,365,individual
730097619785741109,70213615,Phra Khanong,13.704,100.6042,Entire home/apt,1229,5,8,2022-12-25,2.86,1,314,individual
733960271401460593,195325142,Phra Khanong,13.704285601576832,100.6018790602684,Entire home/apt,1453,3,3,2022-12-18,1.23,1,332,individual
